# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000008.0 00002  128 000000064 001562.5 000254 002.5 000.0  064 000000128 000781.2 000254 002.5 000.0  032 000000256 000390.6 000254 002.5 000.0  016 000000512 000195.3 000254 002.5 000.0  008 000001024 000097.7 000254 002.5 000.0  004 000002048 000048.8 000254 002.5 000.0
000010.0 00002  128 000000080 001250.0 000254 002.5 000.0  064 000000160 000625.0 000254 002.5 000.0  032 000000320 000312.5 000254 002.5 000.0  016 000000640 000156.2 000254 002.5 000.0  008 000001280 000078.1 000254 002.5 000.0  004 000002560 000039.1 000254 002.5 000.0
000012.0 00003  128 000000096 001041.7 000254 002.5 000.0  064 000000192 000520.8 000254 002.5 000.0  032 000000384 000260.4 000254 002.5 000.0  016 000000768 000130.2 000254 002.5 000.0  008 000001536 000065.1 000254 002.5 000.0  004 000003072 000032.6 000254 002.5 000.0
000016.0 00004  128 000000128 000781.2 000254 002.5 000.0  064 000000256 000390.6 000254 002.5 000.0  032 000000512 000195.3 000254 002.5 000.0  016 000001024 000097.7 000254 002.5 000.0  008 000002048 000048.8 000254 002.5 000.0  004 000004096 000024.4 000254 002.5 000.0
000020.0 00005  128 000000160 000625.0 000271 002.7 000.0  064 000000320 000312.5 000261 002.6 000.0  032 000000640 000156.2 000260 002.6 000.0  016 000001280 000078.1 000255 002.5 000.0  008 000002560 000039.1 000255 002.5 000.0  004 000005120 000019.5 000254 002.5 000.0
000024.0 00006  128 000000192 000520.8 000265 002.6 000.0  064 000000384 000260.4 000262 002.6 000.0  032 000000768 000130.2 000257 002.6 000.0  016 000001536 000065.1 000256 002.6 000.0  008 000003072 000032.6 000254 002.5 000.0  004 000006144 000016.3 000254 002.5 000.0
000032.0 00008  128 000000256 000390.6 000420 004.2 000.0  064 000000512 000195.3 000403 004.0 000.0  032 000001024 000097.7 000271 002.7 000.0  016 000002048 000048.8 000259 002.6 000.0  008 000004096 000024.4 000257 002.6 000.0  004 000008192 000012.2 000256 002.6 000.0
000040.0 00010  128 000000320 000312.5 000436 004.4 000.0  064 000000640 000156.2 000427 004.3 000.0  032 000001280 000078.1 000280 002.8 000.0  016 000002560 000039.1 000261 002.6 000.0  008 000005120 000019.5 000257 002.6 000.0  004 000010240 000009.8 000256 002.6 000.0
000048.0 00012  128 000000384 000260.4 000479 004.8 000.0  064 000000768 000130.2 000473 004.7 000.0  032 000001536 000065.1 000294 002.9 000.0  016 000003072 000032.6 000271 002.7 000.0  008 000006144 000016.3 000263 002.6 000.0  004 000012288 000008.1 000260 002.6 000.0
000064.0 00016  128 000000512 000195.3 000608 006.1 000.0  064 000001024 000097.7 000598 006.0 000.0  032 000002048 000048.8 000365 003.6 000.0  016 000004096 000024.4 000292 002.9 000.0  008 000008192 000012.2 000270 002.7 000.0  004 000016384 000006.1 000262 002.6 000.0
000080.0 00020  128 000000640 000156.2 000625 006.2 000.0  064 000001280 000078.1 000618 006.2 000.0  032 000002560 000039.1 000353 003.5 000.0  016 000005120 000019.5 000281 002.8 000.0  008 000010240 000009.8 000264 002.6 000.0  004 000020480 000004.9 000260 002.6 000.0
000096.0 00024  128 000000768 000130.2 000636 006.4 000.0  064 000001536 000065.1 000630 006.3 000.0  032 000003072 000032.6 000351 003.5 000.0  016 000006144 000016.3 000276 002.8 000.0  008 000012288 000008.1 000262 002.6 000.0  004 000024576 000004.1 000259 002.6 000.0
000128.0 00032  128 000001024 000097.7 000650 006.5 000.0  064 000002048 000048.8 000648 006.5 000.0  032 000004096 000024.4 000362 003.6 000.0  016 000008192 000012.2 000278 002.8 000.0  008 000016384 000006.1 000262 002.6 000.0  004 000032768 000003.1 000259 002.6 000.0
000160.0 00040  128 000001280 000078.1 000661 006.6 000.0  064 000002560 000039.1 000667 006.7 000.0  032 000005120 000019.5 000369 003.7 000.0  016 000010240 000009.8 000278 002.8 000.0  008 000020480 000004.9 000263 002.6 000.0  004 000040960 000002.4 000259 002.6 000.0
000192.0 00048  128 000001536 000065.1 000669 006.7 000.0  064 000003072 000032.6 000670 006.7 000.0  032 000006144 000016.3 000371 003.7 000.0  016 000012288 000008.1 000279 002.8 000.0  008 000024576 000004.1 000263 002.6 000.0  004 000049152 000002.0 000260 002.6 000.0
000256.0 00064  128 000002048 000048.8 000683 006.8 000.0  064 000004096 000024.4 000687 006.9 000.0  032 000008192 000012.2 000376 003.8 000.0  016 000016384 000006.1 000280 002.8 000.0  008 000032768 000003.1 000263 002.6 000.0  004 000065536 000001.5 000259 002.6 000.0
000320.0 00080  128 000002560 000039.1 000692 006.9 000.0  064 000005120 000019.5 000694 006.9 000.0  032 000010240 000009.8 000381 003.8 000.0  016 000020480 000004.9 000281 002.8 000.0  008 000040960 000002.4 000263 002.6 000.0  004 000081920 000001.2 000259 002.6 000.0
000384.0 00096  128 000003072 000032.6 000805 008.1 000.0  064 000006144 000016.3 000770 007.7 000.0  032 000012288 000008.1 000417 004.2 000.0  016 000024576 000004.1 000296 003.0 000.0  008 000049152 000002.0 000268 002.7 000.0  004 000098304 000001.0 000261 002.6 000.0
000512.0 00128  128 000004096 000024.4 001101 011.0 000.0  064 000008192 000012.2 001010 010.1 000.0  032 000016384 000006.1 000532 005.3 000.0  016 000032768 000003.1 000341 003.4 000.0  008 000065536 000001.5 000276 002.8 000.0  004 000131072 000000.8 000263 002.6 000.0
000640.0 00160  128 000005120 000019.5 001616 016.2 000.0  064 000010240 000009.8 001449 014.5 000.0  032 000020480 000004.9 000748 007.5 000.0  016 000040960 000002.4 000418 004.2 000.0  008 000081920 000001.2 000293 002.9 000.0  004 000163840 000000.6 000269 002.7 000.0
000768.0 00192  128 000006144 000016.3 002078 020.8 000.0  064 000012288 000008.1 001905 019.1 000.0  032 000024576 000004.1 000970 009.7 000.0  016 000049152 000002.0 000512 005.1 000.0  008 000098304 000001.0 000308 003.1 000.0  004 000196608 000000.5 000271 002.7 000.0
001024.0 00256  128 000008192 000012.2 002643 026.4 000.0  064 000016384 000006.1 002443 024.4 000.0  032 000032768 000003.1 001246 012.5 000.0  016 000065536 000001.5 000637 006.4 000.0  008 000131072 000000.8 000338 003.4 000.0  004 000262144 000000.4 000274 002.7 000.0
001280.0 00320  128 000010240 000009.8 002849 028.5 000.0  064 000020480 000004.9 002669 026.7 000.0  032 000040960 000002.4 001349 013.5 000.0  016 000081920 000001.2 000686 006.9 000.0  008 000163840 000000.6 000351 003.5 000.0  004 000327680 000000.3 000275 002.8 000.0
001536.0 00384  128 000012288 000008.1 002903 029.0 000.0  064 000024576 000004.1 002733 027.3 000.0  032 000049152 000002.0 001382 013.8 000.0  016 000098304 000001.0 000703 007.0 000.0  008 000196608 000000.5 000355 003.5 000.0  004 000393216 000000.3 000275 002.8 000.0
002048.0 00512  128 000016384 000006.1 002916 029.2 000.0  064 000032768 000003.1 002755 027.6 000.0  032 000065536 000001.5 001392 013.9 000.0  016 000131072 000000.8 000705 007.0 000.0  008 000262144 000000.4 000357 003.6 000.0  004 000524288 000000.2 000275 002.8 000.0
002560.0 00640  128 000020480 000004.9 002940 029.4 000.0  064 000040960 000002.4 002769 027.7 000.0  032 000081920 000001.2 001401 014.0 000.0  016 000163840 000000.6 000710 007.1 000.0  008 000327680 000000.3 000359 003.6 000.0  004 000655360 000000.2 000275 002.8 000.0
003072.0 00768  128 000024576 000004.1 002946 029.5 000.0  064 000049152 000002.0 002770 027.7 000.0  032 000098304 000001.0 001404 014.0 000.0  016 000196608 000000.5 000711 007.1 000.0  008 000393216 000000.3 000358 003.6 000.0  004 000786432 000000.1 000275 002.8 000.0
004096.0 01024  128 000032768 000003.1 002945 029.4 000.0  064 000065536 000001.5 002774 027.7 000.0  032 000131072 000000.8 001402 014.0 000.0  016 000262144 000000.4 000709 007.1 000.0  008 000524288 000000.2 000358 003.6 000.0  004 001048576 000000.1 000275 002.8 000.0
005120.0 01280  128 000040960 000002.4 002947 029.5 000.0  064 000081920 000001.2 002776 027.8 000.0  032 000163840 000000.6 001405 014.1 000.0  016 000327680 000000.3 000709 007.1 000.0  008 000655360 000000.2 000359 003.6 000.0  004 001310720 000000.1 000275 002.8 000.0
006144.0 01536  128 000049152 000002.0 002951 029.5 000.0  064 000098304 000001.0 002779 027.8 000.0  032 000196608 000000.5 001403 014.0 000.0  016 000393216 000000.3 000709 007.1 000.0  008 000786432 000000.1 000359 003.6 000.0  004 001572864 000000.1 000274 002.7 000.0
008192.0 02048  128 000065536 000001.5 002944 029.4 000.0  064 000131072 000000.8 002772 027.7 000.0  032 000262144 000000.4 001407 014.1 000.0  016 000524288 000000.2 000710 007.1 000.0  008 001048576 000000.1 000358 003.6 000.0  004 002097152 000000.0 000276 002.8 000.0
010240.0 02560  128 000081920 000001.2 002947 029.5 000.0  064 000163840 000000.6 002773 027.7 000.0  032 000327680 000000.3 001402 014.0 000.0  016 000655360 000000.2 000710 007.1 000.0  008 001310720 000000.1 000360 003.6 000.0  004 002621440 000000.0 000275 002.8 000.0
012288.0 03072  128 000098304 000001.0 002951 029.5 000.0  064 000196608 000000.5 002779 027.8 000.0  032 000393216 000000.3 001403 014.0 000.0  016 000786432 000000.1 000709 007.1 000.0  008 001572864 000000.1 000359 003.6 000.0  004 003145728 000000.0 000276 002.8 000.0
016384.0 04096  128 000131072 000000.8 002946 029.5 000.0  064 000262144 000000.4 002778 027.8 000.0  032 000524288 000000.2 001403 014.0 000.0  016 001048576 000000.1 000711 007.1 000.0  008 002097152 000000.0 000359 003.6 000.0  004 004194304 000000.0 000275 002.8 000.0
020480.0 05120  128 000163840 000000.6 002947 029.5 000.0  064 000327680 000000.3 002773 027.7 000.0  032 000655360 000000.2 001403 014.0 000.0  016 001310720 000000.1 000712 007.1 000.0  008 002621440 000000.0 000358 003.6 000.0  004 005242880 000000.0 000275 002.8 000.0
024576.0 06144  128 000196608 000000.5 002949 029.5 000.0  064 000393216 000000.3 002780 027.8 000.0  032 000786432 000000.1 001405 014.1 000.0  016 001572864 000000.1 000709 007.1 000.0  008 003145728 000000.0 000359 003.6 000.0  004 006291456 000000.0 000275 002.8 000.0
032768.0 08192  128 000262144 000000.4 002944 029.4 000.0  064 000524288 000000.2 002771 027.7 000.0  032 001048576 000000.1 001402 014.0 000.0  016 002097152 000000.0 000712 007.1 000.0  008 004194304 000000.0 000359 003.6 000.0  004 008388608 000000.0 000275 002.8 000.0
040960.0 10240  128 000327680 000000.3 002949 029.5 000.0  064 000655360 000000.2 002776 027.8 000.0  032 001310720 000000.1 001405 014.1 000.0  016 002621440 000000.0 000711 007.1 000.0  008 005242880 000000.0 000358 003.6 000.0  004 010485760 000000.0 000275 002.8 000.0
